location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link,sangkat,khan,city/provice,lat,lon
"Chroy Changvar, Chroy Changvar, Phnom Penh",183600,2,2,101,,Apartment,buy,https://www.realestate.com.kh/buy/chroy-changvar/2-bed-2-bath-apartment-228899/,Chroy Changvar,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Boeng Keng Kang 1, Chamkarmon, Phnom Penh",277000,1,1,77,,Condo,buy,https://www.realestate.com.kh/buy/bkk-1/1-bed-1-bath-condo-228866/,Boeng Keng Kang 1,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Mittapheap, 7 Makara, Phnom Penh",150000,2,2,,,Apartment,buy,https://www.realestate.com.kh/buy/mittapheap/2-bed-2-bath-apartment-228819/,Mittapheap,7 Makara,Phnom Penh,11.5495588,104.9272305
"Sala Kamraeuk, Siem Reap, Siem Reap",700000,9,10,,,House,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/9-bed-10-bath-house-228810/,Sala Kamraeuk,Siem Reap,Siem Reap,13.3617562,103.8590321
"Kandaek, Prasat Bakong, Siem Reap",86000,2,3,,,House,buy,https://www.realestate.com.kh/buy/kandaek/2-bed-3-bath-house-228803/,Kandaek,Prasat Bakong,Siem Reap,13.3421471,103.9978446
"Sala Kamraeuk, Siem Reap, Siem Reap",270,,,,,Land,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/land-228759/,Sala Kamraeuk,Siem Reap,Siem Reap,13.3617562,103.8590321
"Chreav, Siem Reap, Siem Reap",135500,2,3,108,250,House,buy,https://www.realestate.com.kh/buy/chreav/2-bed-3-bath-house-228659/,Chreav,Siem Reap,Siem Reap,13.3617562,103.8590321
"Svay Dankum, Siem Reap, Siem Reap",180000,4,5,,,Villa,buy,https://www.realestate.com.kh/buy/svay-dankum/properties-dabest-228621/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Sala Kamraeuk, Siem Reap, Siem Reap",1260000,,,,,Land,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/land-228618/,Sala Kamraeuk,Siem Reap,Siem Reap,13.3617562,103.8590321
"Svay Dankum, Siem Reap, Siem Reap",1500000,,,,,Land,buy,https://www.realestate.com.kh/buy/svay-dankum/land-228610/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Phsar Kandal I, Daun Penh, Phnom Penh",330000,2,4,346,,Apartment,buy,https://www.realestate.com.kh/buy/phsar-kandal-i/2-bed-4-bath-apartment-228607/,Phsar Kandal I,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Toul Tum Poung 2, Chamkarmon, Phnom Penh",2800000,15,15,,,Apartment,buy,https://www.realestate.com.kh/buy/toul-tum-poung-2/15-bed-15-bath-apartment-228503/,Toul Tum Poung 2,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Srangae, Siem Reap, Siem Reap",108000,2,3,,,House,buy,https://www.realestate.com.kh/buy/srangae/2-bed-3-bath-house-228499/,Srangae,Siem Reap,Siem Reap,13.3617562,103.8590321
"Phsar Kandal I, Daun Penh, Phnom Penh",299000,2,2,250,,Flat,buy,https://www.realestate.com.kh/buy/phsar-kandal-i/2-bed-2-bath-flat-house-228393/,Phsar Kandal I,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Svay Dankum, Siem Reap, Siem Reap",100000,3,4,,,House,buy,https://www.realestate.com.kh/buy/svay-dankum/3-bed-4-bath-house-228241/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Phsar Kandal I, Daun Penh, Phnom Penh",125000,3,2,99,,Apartment,buy,https://www.realestate.com.kh/buy/phsar-kandal-i/3-bed-2-bath-apartment-228146/,Phsar Kandal I,Daun Penh,Phnom Penh,11.5772693,104.9194273
Urban Village Phase 2,119500,2,2,60,,Condo,buy,https://www.realestate.com.kh/new-developments/urban-village-phase-2/2-bed-2-bath-condo-227902/,,,,,
