,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
1750,"Mittapheap, 7 Makara, Phnom Penh",$350permonth,1,1.0,45,,Studio,rent,https://www.realestate.com.kh/rent/mittapheap/1-bed-1-bath-studio-196782/
1751,"Chak Angrae Leu, Meanchey, Phnom Penh",$550permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/chak-angrae-leu/apartment-196781/
1752,"Preaek Pra, Chbar Ampov, Phnom Penh","$1,800permonth",8,,,,Villa,rent,https://www.realestate.com.kh/rent/preaek-pra/8-bed-villa-196336/
1753,"Chrang Chamres I, Russey Keo, Phnom Penh",$450permonth,4,5.0,,,House,rent,https://www.realestate.com.kh/rent/chrang-chamres-i/4-bed-5-bath-house-196332/
1754,"Dangkao, Dangkao, Phnom Penh",$450permonth,,,,,Shophouse,rent,https://www.realestate.com.kh/rent/dangkao/shophouse-196038/
1755,"Preaek Kampues, Dangkao, Phnom Penh","$1,200permonth",5,6.0,,,Villa,rent,https://www.realestate.com.kh/rent/preaek-kampues/5-bed-6-bath-villa-195892/
1756," Kouk Chak, Siem Reap, Siem Reap",$650permonth,2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/kouk-chak/2-bed-2-bath-apartment-195332/
1757," Sala Kamraeuk, Siem Reap, Siem Reap",$270permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-1-bath-apartment-195326/
1758,"Tonle Bassac, Chamkarmon, Phnom Penh",$450permonth,1,1.0,62,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bed-1-bath-condo-194896/
1759,Diamond One,$350permonth,,1.0,49,,Condo,rent,https://www.realestate.com.kh/new-developments/diamond-one/1-bath-condo-194895/
1760,"Tonle Bassac, Chamkarmon, Phnom Penh",$350permonth,,1.0,49,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bath-apartment-194894/
1761,TAO Riverside Residence,"$2,100permonth",1,1.0,65,,Serviced,rent,https://www.realestate.com.kh/new-developments/tao-riverside-residence/1-bed-1-bath-serviced-apartment-194274/
1762,TAO Riverside Residence,"$1,950permonth",1,1.0,70,,Serviced,rent,https://www.realestate.com.kh/new-developments/tao-riverside-residence/1-bed-1-bath-serviced-apartment-194273/
1763,TAO Riverside Residence,"$1,900permonth",1,1.0,75,,Serviced,rent,https://www.realestate.com.kh/new-developments/tao-riverside-residence/1-bed-1-bath-serviced-apartment-194268/
1764,TAO Riverside Residence,"$1,700permonth$1,500SAVE11.76%",1,1.0,55,,Studio,rent,https://www.realestate.com.kh/new-developments/tao-riverside-residence/1-bed-1-bath-studio-194267/
1765,TAO Riverside Residence,"$1,350permonth",1,1.0,50,,Studio,rent,https://www.realestate.com.kh/new-developments/tao-riverside-residence/1-bed-1-bath-studio-194265/
1766,"Veal Vong, 7 Makara, Phnom Penh",$500permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/veal-vong/1-bed-1-bath-apartment-194164/
1767," Kouk Chak, Siem Reap, Siem Reap",$350permonth,1,,,,Apartment,rent,https://www.realestate.com.kh/rent/kouk-chak/1-bed-apartment-192369/
1768," Sala Kamraeuk, Siem Reap, Siem Reap",$200permonth,1,,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-apartment-192357/
1769," Sala Kamraeuk, Siem Reap, Siem Reap",$400permonth,2,2.0,,,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/2-bed-2-bath-house-192351/
1770," Svay Dankum, Siem Reap, Siem Reap",$350permonth,1,,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-apartment-192349/
1771,"Veal Vong, 7 Makara, Phnom Penh","$2,950permonth",2,,,,Condo,rent,https://www.realestate.com.kh/rent/veal-vong/2-bed-condo-191254/
1772,"Nirouth, Chbar Ampov, Phnom Penh","$1,000permonth",4,5.0,,,House,rent,https://www.realestate.com.kh/rent/nirouth/4-bed-5-bath-house-190286/
1773,"Chroy Changvar, Chroy Changvar, Phnom Penh",$550permonth,1,,50,,Apartment,rent,https://www.realestate.com.kh/rent/chroy-changvar/1-bed-apartment-190285/
1774,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$4,700permonth",3,,380,,Condo,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/3-bed-condo-190150/
1775,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,500permonth",1,1.0,,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bed-1-bath-condo-190082/
1776,"Tonle Bassac, Chamkarmon, Phnom Penh",$650permonth,,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bath-apartment-190013/
1777,"Tonle Bassac, Chamkarmon, Phnom Penh","$4,000permonth",3,4.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-4-bath-villa-189884/
1778,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,300permonth",5,5.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/5-bed-5-bath-villa-189883/
1779,"Veal Vong, 7 Makara, Phnom Penh",$700permonth,2,1.0,,,Condo,rent,https://www.realestate.com.kh/buy/veal-vong/2-bed-1-bath-condo-189808/
1780,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,800permonth",5,6.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/5-bed-6-bath-villa-189806/
1781,"Tonle Bassac, Chamkarmon, Phnom Penh","$5,000permonth",5,6.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/5-bed-6-bath-villa-189017/
1782,"Svay Dankum, Siem Reap, Siem Reap",$500permonth,2,3.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-3-bath-apartment-188500/
1783,"Svay Dankum, Siem Reap, Siem Reap",$250permonth,2,3.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-3-bath-apartment-188499/
1784,"Boeung Tumpun, Meanchey, Phnom Penh",$400permonth,1,1.0,,,Condo,rent,https://www.realestate.com.kh/rent/boeung-tumpun/1-bed-1-bath-condo-188153/
1785," Sla Kram, Siem Reap, Siem Reap",$400permonth,2,2.0,,,House,rent,https://www.realestate.com.kh/rent/sla-kram/2-bed-2-bath-house-187654/
1786,"Tuek L'ak 1, Toul Kork, Phnom Penh","$3,000permonth",7,9.0,112,,Apartment,rent,https://www.realestate.com.kh/rent/tuek-lak-1/7-bed-9-bath-apartment-187304/
1787,"Chak Angrae Leu, Meanchey, Phnom Penh",$600permonth,2,1.0,75,,Condo,rent,https://www.realestate.com.kh/rent/chak-angrae-leu/2-bed-1-bath-condo-187247/
1788,De Castle Diamond Condominium,"$1,275permonth",4,4.0,281,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/4-bed-4-bath-condo-185706/
1789,De Castle Diamond Condominium,"$1,275permonth",4,4.0,281,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/4-bed-4-bath-condo-185705/
1790,De Castle Diamond Condominium,$999permonth,4,4.0,281,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/4-bed-4-bath-condo-185700/
1791,De Castle Diamond Condominium,"$1,275permonth",4,4.0,281,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/4-bed-4-bath-condo-185699/
1792,De Castle Diamond Condominium,$999permonth,3,3.0,229,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/3-bed-3-bath-condo-185698/
1793,De Castle Diamond Condominium,$875permonth,3,3.0,229,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/3-bed-3-bath-condo-185696/
1794,De Castle Diamond Condominium,"$1,150permonth",3,3.0,251,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/3-bed-3-bath-condo-185695/
1795,De Castle Diamond Condominium,"$1,150permonth",3,3.0,251,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/3-bed-3-bath-condo-185694/
1796,De Castle Diamond Condominium,"$1,150permonth",3,3.0,251,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/3-bed-3-bath-condo-185693/
1797,De Castle Diamond Condominium,"$1,400permonth",3,3.0,251,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/3-bed-3-bath-condo-185692/
1798,De Castle Diamond Condominium,$825permonth,2,2.0,150,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/2-bed-2-bath-condo-185691/
1799,De Castle Diamond Condominium,$825permonth,2,2.0,150,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/2-bed-2-bath-condo-185690/
1800,De Castle Diamond Condominium,$725permonth,1,1.0,114,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/1-bed-1-bath-condo-185689/
1801,De Castle Diamond Condominium,$725permonth,1,1.0,114,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/1-bed-1-bath-condo-185688/
1802,De Castle Diamond Condominium,$725permonth,1,1.0,114,,Condo,rent,https://www.realestate.com.kh/new-developments/de-castle-diamond-condominium/1-bed-1-bath-condo-185687/
1803,"Boeung Kak 1, Toul Kork, Phnom Penh",$350permonth,,,32,,Condo,rent,https://www.realestate.com.kh/rent/boeung-kak-1/condo-185686/
1804,"Veal Vong, 7 Makara, Phnom Penh","$1,200permonth",2,,130,,Condo,rent,https://www.realestate.com.kh/rent/veal-vong/2-bed-condo-185232/
